trial_id,type,list,sent
1,type_2,l_16,s_1
2,type_2,l_16,s_2
3,type_2,l_16,s_3
4,type_2,l_16,s_4
5,type_2,l_16,s_5
6,type_2,l_16,s_6
7,type_2,l_16,s_7
8,type_3,l_6,s_1
9,type_3,l_6,s_2
10,type_3,l_6,s_3
11,type_3,l_6,s_4
12,type_3,l_6,s_5
13,type_3,l_6,s_6
14,type_3,l_6,s_7
15,type_4,l_14,s_1
16,type_4,l_14,s_2
17,type_4,l_14,s_3
18,type_4,l_14,s_4
19,type_4,l_14,s_5
20,type_4,l_14,s_6
21,type_4,l_14,s_7
22,type_3,l_12,s_1
23,type_3,l_12,s_2
24,type_3,l_12,s_3
25,type_3,l_12,s_4
26,type_3,l_12,s_5
27,type_3,l_12,s_6
28,type_3,l_12,s_7
29,type_3,l_1,s_1
30,type_3,l_1,s_2
31,type_3,l_1,s_3
32,type_3,l_1,s_4
33,type_3,l_1,s_5
34,type_3,l_1,s_6
35,type_3,l_1,s_7
36,type_2,l_13,s_1
37,type_2,l_13,s_2
38,type_2,l_13,s_3
39,type_2,l_13,s_4
40,type_2,l_13,s_5
41,type_2,l_13,s_6
42,type_2,l_13,s_7
43,type_4,l_5,s_1
44,type_4,l_5,s_2
45,type_4,l_5,s_3
46,type_4,l_5,s_4
47,type_4,l_5,s_5
48,type_4,l_5,s_6
49,type_4,l_5,s_7
50,type_1,l_9,s_1
51,type_1,l_9,s_2
52,type_1,l_9,s_3
53,type_1,l_9,s_4
54,type_1,l_9,s_5
55,type_1,l_9,s_6
56,type_1,l_9,s_7
57,type_3,l_15,s_1
58,type_3,l_15,s_2
59,type_3,l_15,s_3
60,type_3,l_15,s_4
61,type_3,l_15,s_5
62,type_3,l_15,s_6
63,type_3,l_15,s_7
64,type_1,l_11,s_1
65,type_1,l_11,s_2
66,type_1,l_11,s_3
67,type_1,l_11,s_4
68,type_1,l_11,s_5
69,type_1,l_11,s_6
70,type_1,l_11,s_7
71,type_2,l_10,s_1
72,type_2,l_10,s_2
73,type_2,l_10,s_3
74,type_2,l_10,s_4
75,type_2,l_10,s_5
76,type_2,l_10,s_6
77,type_2,l_10,s_7
78,type_4,l_3,s_1
79,type_4,l_3,s_2
80,type_4,l_3,s_3
81,type_4,l_3,s_4
82,type_4,l_3,s_5
83,type_4,l_3,s_6
84,type_4,l_3,s_7
85,type_1,l_7,s_1
86,type_1,l_7,s_2
87,type_1,l_7,s_3
88,type_1,l_7,s_4
89,type_1,l_7,s_5
90,type_1,l_7,s_6
91,type_1,l_7,s_7
92,type_1,l_2,s_1
93,type_1,l_2,s_2
94,type_1,l_2,s_3
95,type_1,l_2,s_4
96,type_1,l_2,s_5
97,type_1,l_2,s_6
98,type_1,l_2,s_7
99,type_2,l_8,s_1
100,type_2,l_8,s_2
101,type_2,l_8,s_3
102,type_2,l_8,s_4
103,type_2,l_8,s_5
104,type_2,l_8,s_6
105,type_2,l_8,s_7
106,type_4,l_4,s_1
107,type_4,l_4,s_2
108,type_4,l_4,s_3
109,type_4,l_4,s_4
110,type_4,l_4,s_5
111,type_4,l_4,s_6
112,type_4,l_4,s_7
